Study ID	Reported Trait	Trait	Citation	P-Value Annotation	Beta Annotation	Score Type	Units (if applicable)	Used Super Population	SNPs Excluded Due To Cutoffs	SNP Overlap	Included SNPs	Polygenic Risk Score	Percentile
GCST003098	Diabetic Kidney Disease	Diabetic Nephropathy	Iyengar et al. 2015	(aa, recessive )	NA	OR	NA	EUR	0	1	1	NF	NA
GCST003098	Diabetic Kidney Disease	Diabetic Nephropathy	Iyengar et al. 2015	(additive )	NA	OR	NA	EUR	0	2	4	1.0335606206373826	48
GCST003098	Diabetic Kidney Disease	Diabetic Nephropathy	Iyengar et al. 2015	(american indian, additive )	NA	OR	NA	EUR	0	2	3	1.07304496408427	29-31
GCST003098	Diabetic Kidney Disease	Diabetic Nephropathy	Iyengar et al. 2015	(recessive )	NA	OR	NA	EUR	0	1	1	NF	NA
GCST003099	Diabetic Kidney Disease	Diabetic Nephropathy	Iyengar et al. 2015	(additive)	NA	OR	NA	EUR	0	2	3	1.1457587181811317	74-89
GCST000909	Type 2 Diabetes Nephropathy	Diabetic Nephropathy	McDonough et al. 2010	NA	NA	OR	NA	EUR	0	5	5	1.2459433414561045	95
GCST001688	Type 1 Diabetes Nephropathy	Diabetic Nephropathy	Sandholm et al. 2012	(t1dn)	NA	OR	NA	EUR	0	1	1	1.52	9-100
GCST003862	Kidney Disease (End Stage Renal Disease Vs Non-End Stage Renal Disease) In Type 1 Diabetes	Diabetic Nephropathy	Sandholm et al. 2016	NA	NA	OR	NA	EUR	0	1	2	1.0067674679330825	0-51
GCST003866	Kidney Disease (Late Stage) In Type 1 Diabetes	Diabetic Nephropathy	Sandholm et al. 2016	NA	NA	OR	NA	EUR	0	1	1	1.2884098726725126	0-93
GCST003867	Chronic Kidney Disease (Chronic Kidney Disease Vs Normal Or Mildly Reduced Egfr) In Type 1 Diabetes	Diabetic Nephropathy	Sandholm et al. 2016	NA	NA	OR	NA	EUR	0	1	1	1.0723805294763609	10-52
GCST005889	Early Diabetic Kidney Disease In Type 2 Diabetes	Diabetic Nephropathy	van Zuydam et al. 2018	(ea)	NA	OR	NA	EUR	0	1	1	1.118033988749895	14-58
GCST005895	Diabetic Kidney Disease In Type 2 Diabetes	Diabetic Nephropathy	van Zuydam et al. 2018	(ea)	NA	OR	NA	EUR	0	1	1	1.0862780491200215	0-13
GCST011163	Diabetic Neuropathy In Type 2 Diabetes	Diabetic Neuropathy	Ustinova et al. 2021	NA	NA	OR	NA	EUR	0	1	2	0.9951820778711221	46-66
GCST002684	Diabetic Retinopathy In Type 2 Diabetes	Diabetic Retinopathy	Awata et al. 2014	NA	NA	OR	NA	EUR	0	1	1	1.1832159566199232	28-29
GCST003042	Sight-Threatening Diabetic Retinopathy In Type 2 Diabetes	Diabetic Retinopathy	Burdon et al. 2015	(ea)	(Discovery)	OR	NA	EUR	0	1	1	1.2922847983320085	51-91
GCST001017	Diabetic Retinopathy	Diabetic Retinopathy	Grassi et al. 2011	NA	NA	OR	NA	EUR	0	10	19	1.0974693298855678	38
GCST009840	Diabetic Retinopathy In Type 2 Diabetes	Diabetic Retinopathy	Hsieh et al. 2020	NA	NA	OR	NA	EUR	0	2	3	1.6691851323113187	35-37
GCST006424	Severe Diabetic Retinopathy In Type 2 Diabetes	Diabetic Retinopathy	Meng et al. 2018	NA	NA	OR	NA	EUR	0	1	2	1.3517706974904504	87
GCST001977	Diabetic Retinopathy	Diabetic Retinopathy	Sheu et al. 2013	NA	NA	OR	NA	EUR	0	1	1	NF	NA
GCST90060168	Diacylglycerol_32:2_[M+H-H2o]1+ Levels	Diacylglycerol 32.2 Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	6	7	0.00575395542720795	27
GCST90060603	Diacylglycerol(32:2)_[M+H-H2o]1+ Levels	Diacylglycerol 32.2 Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	12	12	0.0005000000000000004	88-100
GCST90060173	Diacylglycerol_33:1_[M+H-H2o]1+ Levels	Diacylglycerol 33:1 Measurement	Harshfield et al. 2021	NA	NA	beta	NA	EUR	0	3	3	NF	NA
GCST90060181	Diacylglycerol_34:0_[M+H-H2o]1+ Levels	Diacylglycerol 34:0 Measurement	Harshfield et al. 2021	NA	NA	beta	NA	EUR	0	2	2	NF	NA
GCST90060608	Diacylglycerol(34:0)_[M+H-H2o]1+ Levels	Diacylglycerol 34:0 Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	10	11	0.03821829997228752	15-30
GCST90060179	Diacylglycerol_34:1_[M+H-H2o]1+ Levels	Diacylglycerol 34:1 Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	5	7	0.0011999942327109853	30
GCST90060607	Diacylglycerol(34:1)_[M+H-H2o]1+ Levels	Diacylglycerol 34:1 Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	14	16	-0.011105381827033531	17-18
GCST90060178	Diacylglycerol_34:2_[M+H-H2o]1+ Levels	Diacylglycerol 34:2 Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	7	12	0.00139860474366326	47
GCST90060606	Diacylglycerol(34:2)_[M+H-H2o]1+ Levels	Diacylglycerol 34:2 Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	17	19	-0.024497528329862794	50-84
GCST90060614	Diacylglycerol(34:2)_[M+Nh4]1+ Levels	Diacylglycerol 34:2 Measurement	Harshfield et al. 2021	NA	NA	beta	NA	EUR	0	2	2	NF	NA
GCST90060177	Diacylglycerol_34:3_[M+H-H2o]1+ Levels	Diacylglycerol 34:3 Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	5	6	0.006506409890435959	13-27
GCST90060605	Diacylglycerol(34:3)_[M+H-H2o]1+ Levels	Diacylglycerol 34:3 Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	16	16	-0.03994166666666667	0
GCST90060193	Diacylglycerol_36:1_[M+H-H2o]1+ Levels	Diacylglycerol 36:1 Measurement	Harshfield et al. 2021	NA	NA	beta	NA	EUR	0	2	2	NF	NA
GCST90060613	Diacylglycerol(36:1)_[M+H-H2o]1+ Levels	Diacylglycerol 36:1 Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	12	13	-0.009808873415512837	83-99
GCST90060191	Diacylglycerol_36:2_[M+H-H2o]1+ Levels	Diacylglycerol 36:2 Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	16	20	0.0032168131656575894	44
GCST90060612	Diacylglycerol(36:2)_[M+H-H2o]1+ Levels	Diacylglycerol 36:2 Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	39	40	-0.01856517248457851	90
GCST90060625	Diacylglycerol(36:2)_[M+Nh4]1+ Levels	Diacylglycerol 36:2 Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	17	17	0.017175	1-4
GCST90060189	Diacylglycerol_36:3_[M+H-H2o]1+ Levels	Diacylglycerol 36:3 Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	13	19	0.004092433481545632	49-58
GCST90060611	Diacylglycerol(36:3)_[M+H-H2o]1+ Levels	Diacylglycerol 36:3 Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	40	40	-0.00027500000000000007	90
GCST90060623	Diacylglycerol(36:3)_[M+Nh4]1+ Levels	Diacylglycerol 36:3 Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	14	14	-0.02509166666666667	0
GCST90060610	Diacylglycerol(36:4)_[M+H-H2o]1+ Levels	Diacylglycerol 36:4 Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	12	12	-0.0409	0
GCST90060621	Diacylglycerol(36:4)_[M+Nh4]1+ Levels	Diacylglycerol 36:4 Measurement	Harshfield et al. 2021	NA	NA	beta	NA	EUR	0	1	1	NF	NA
GCST90060203	Diacylglycerol_38:3_[M+H-H2o]1+ Levels	Diacylglycerol 38:3 Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	14	25	0.017563790647542675	93
GCST90060201	Diacylglycerol_38:4_[M+H-H2o]1+ Levels	Diacylglycerol 38:4 Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	17	25	-0.026082442301836494	11
GCST90060200	Diacylglycerol_38:5_[M+H-H2o]1+ Levels	Diacylglycerol 38:5 Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	19	30	-0.01130308239342169	5
GCST90060226	Diacylglycerol_42:7_[M+H-H2o]1+ Levels	Diacylglycerol 42:7 Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	12	21	0.04540246496947564	74-75
GCST90060245	Diacylglycerol_44:6_[M+H-H2o]1+ Levels	Diacylglycerol 44:6 Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	4	5	-0.04318945049475902	19
GCST90060660	Diacylglycerol(44:6)_[M+H-H2o]1+ Levels	Diacylglycerol 44:6 Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	14	14	-0.008908333333333332	0
GCST90060240	Diacylglycerol_44:7_[M+H-H2o]1+ Levels	Diacylglycerol 44:7 Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	10	15	0.0032618351277452135	68
GCST003624	Diarrhoeal Disease At Age 2 With Doctor Diagnosis	Diarrhea	Bustamante et al. 2016	NA	NA	OR	NA	EUR	0	1	1	1.1090536506409416	20-65
GCST003625	Diarrhoeal Disease At Age 1 With Doctor Diagnosis	Diarrhea	Bustamante et al. 2016	NA	NA	OR	NA	EUR	0	1	1	1.1269427669584644	39-83
GCST003626	Diarrhoeal Disease At Age 1	Diarrhea	Bustamante et al. 2016	NA	NA	OR	NA	EUR	0	1	1	1.1357816691600546	20-64
GCST001762	Obesity-Related Traits	Diastolic Blood Pressure	Comuzzie et al. 2012	(dbp )	NA	beta	mmHg	EUR	0	4	7	0.005767610093345789	78-87
GCST001228	Diastolic Blood Pressure	Diastolic Blood Pressure	Ehret et al. 2011	NA	NA	beta	mmHg	EUR	0	10	19	0.006648675680554862	3
GCST006258	Diastolic Blood Pressure	Diastolic Blood Pressure	Ehret et al. 2016	NA	NA	beta	mm Hg	EUR	0	39	57	-0.04769921059237766	1
GCST006627	Diastolic Blood Pressure	Diastolic Blood Pressure	Evangelou et al. 2018	NA	NA	beta	mmHg	EUR	0	54	103	-0.012704828433990898	80
GCST006630	Diastolic Blood Pressure	Diastolic Blood Pressure	Evangelou et al. 2018	NA	NA	beta	mmHg	EUR	0	49	91	-0.004044475520275545	57
GCST002143	Blood Pressure	Diastolic Blood Pressure	Franceschini et al. 2013	(dbp)	NA	beta	unit	EUR	0	4	6	-0.010032424721148589	36
GCST007107	Diastolic Blood Pressure X Sodium Interaction (1df Test)	Diastolic Blood Pressure	Hachiya et al. 2018	(additive model)	NA	beta	unit	EUR	0	1	1	-0.0115	77-99
GCST007107	Diastolic Blood Pressure X Sodium Interaction (1df Test)	Diastolic Blood Pressure	Hachiya et al. 2018	(dominant)	NA	beta	unit	EUR	0	1	1	0.028	11-51
GCST002247	Blood Pressure Measurement (Cold Pressor Test)	Diastolic Blood Pressure	He et al. 2013	(dbp, time 0)	NA	beta	mmHg	EUR	0	1	1	-1.405	4-33
GCST002249	Blood Pressure Measurement (High Sodium Intervention)	Diastolic Blood Pressure	He et al. 2013	(dbp, response to intervention)	NA	beta	mmHg	EUR	0	1	2	-1.1708662869770436	0
GCST002250	Blood Pressure Measurement (Low Sodium Intervention)	Diastolic Blood Pressure	He et al. 2013	(dbp, during intervention)	NA	beta	mmHg	EUR	0	1	2	-1.6462457261749892	25
GCST007094	Diastolic Blood Pressure	Diastolic Blood Pressure	Hoffmann et al. 2016	NA	NA	beta	unit	EUR	0	112	218	-0.020787722643293614	0
GCST007098	Diastolic Blood Pressure	Diastolic Blood Pressure	Hoffmann et al. 2016	(ea)	NA	beta	unit	EUR	0	26	44	0.006548799502115505	0
GCST007098	Diastolic Blood Pressure	Diastolic Blood Pressure	Hoffmann et al. 2016	(latino)	NA	beta	unit	EUR	0	1	2	-0.18620097136080785	0-28
GCST007098	Diastolic Blood Pressure	Diastolic Blood Pressure	Hoffmann et al. 2016	NA	NA	beta	unit	EUR	0	30	51	0.05042826598057777	0
GCST001074	Blood Pressure	Diastolic Blood Pressure	Kato et al. 2011	(diastolic)	NA	beta	mm Hg	EUR	0	4	8	0.32771055597044774	26
GCST003273	Diastolic Blood Pressure	Diastolic Blood Pressure	Kato et al. 2015	(ea)	NA	beta	mmHg	EUR	0	2	3	0.0023207989935899176	6
GCST003273	Diastolic Blood Pressure	Diastolic Blood Pressure	Kato et al. 2015	NA	NA	beta	mmHg	EUR	0	5	9	-0.12574152248753537	14
GCST002471	Blood Pressure (Anthropometric Measures Interaction)	Diastolic Blood Pressure	Kim et al. 2014	(dbp)	NA	beta	unit	EUR	0	1	1	0.095	39-86
GCST004705	Blood Pressure	Diastolic Blood Pressure	Kim et al. 2014	(dbp)	NA	beta	unit	EUR	0	1	1	-14.65	15-61
GCST008143	Diastolic Blood Pressure	Diastolic Blood Pressure	Kong et al. 2019	NA	NA	beta	unit	EUR	0	2	2	-0.385	0-16
GCST005772	Diastolic Blood Pressure	Diastolic Blood Pressure	Kulminski et al. 2018	NA	NA	beta	unit	EUR	0	2	2	-0.2799395	0-2
GCST000396	Diastolic Blood Pressure	Diastolic Blood Pressure	Levy et al. 2009	NA	NA	beta	mm Hg	EUR	0	5	7	0.037435427506907516	6
GCST004258	Diastolic Blood Pressure (Long-Term Average)	Diastolic Blood Pressure	Li et al. 2017	NA	NA	beta	mmHg	EUR	0	2	3	0.15514896497164007	6-8
GCST006227	Diastolic Blood Pressure	Diastolic Blood Pressure	Liu et al. 2016	NA	NA	beta	unit	EUR	0	14	16	-0.00879177446456672	70
GCST002631	Diastolic Blood Pressure	Diastolic Blood Pressure	Lu et al. 2014	NA	NA	beta	unit	EUR	0	7	14	0.3077004330454308	29
GCST000394	Diastolic Blood Pressure	Diastolic Blood Pressure	Newton-Cheh et al. 2009	NA	NA	beta	mm Hg	EUR	0	3	6	-0.06332502579968774	15
GCST010255	Diastolic Blood Pressure X Dichotomous Lifestyle Risk Score Interaction (1df Test)	Diastolic Blood Pressure	Osazuwa-Peters et al. 2020	NA	NA	beta	unit	EUR	0	1	2	0.45283878350787066	63-95
GCST010257	Diastolic Blood Pressure X Quantitative Lifestyle Risk Score Interaction (1df Test)	Diastolic Blood Pressure	Osazuwa-Peters et al. 2020	NA	NA	beta	unit	EUR	0	1	2	0.0526024775194569	7-17
GCST90018952	Diastolic Blood Pressure	Diastolic Blood Pressure	Sakaue et al. 2021	NA	NA	beta	unit	EUR	0	125	239	9.646562535315699e-05	23
GCST002309	Diastolic Blood Pressure (Alcohol Consumption Interaction)	Diastolic Blood Pressure	Simino et al. 2013	(oz alcohol/week)	NA	beta	unit	EUR	0	1	1	0.1945	58-95
GCST002495	Blood Pressure (Age Interaction)	Diastolic Blood Pressure	Simino et al. 2014	(ea, dbp)	per 1 year increase in age	beta	mmHg	EUR	0	1	1	-0.0197	0-7
GCST006020	Diastolic Blood Pressure	Diastolic Blood Pressure	Surendran et al. 2016	(ea)	NA	beta	mmHg	EUR	0	2	3	-0.02643444485705708	85-89
GCST90000063	Diastolic Blood Pressure	Diastolic Blood Pressure	Surendran et al. 2020	NA	NA	beta	mmHg	EUR	0	6	11	-0.027463907776024952	33
GCST007704	Diastolic Blood Pressure	Diastolic Blood Pressure	Takeuchi et al. 2018	(east asian)	NA	beta	unit	EUR	0	27	51	-0.03229567619380867	90
GCST007704	Diastolic Blood Pressure	Diastolic Blood Pressure	Takeuchi et al. 2018	(japanese)	NA	beta	unit	EUR	0	21	42	-0.034604309934732194	51
GCST007704	Diastolic Blood Pressure	Diastolic Blood Pressure	Takeuchi et al. 2018	NA	NA	beta	unit	EUR	0	1	1	-0.1975	0-20
GCST004777	Diastolic Blood Pressure	Diastolic Blood Pressure	Wain et al. 2017	(ea, initial)	NA	beta	unit	EUR	0	35	58	0.00036360946128962085	7
GCST004777	Diastolic Blood Pressure	Diastolic Blood Pressure	Wain et al. 2017	NA	NA	beta	unit	EUR	0	6	12	0.07813979274166853	71
GCST000753	Metabolic Syndrome	Diastolic Blood Pressure	Zabaneh et al. 2010	(dbp)	NA	beta	mmHg	EUR	0	1	1	-0.595	37-84
GCST006273	Diastolic Blood Pressure Night-To-Day Ratio In Hypertension	Diastolic Blood Pressure Change Measurement	Rimpelä et al. 2018	NA	NA	beta	percent	EUR	0	3	5	-0.4673539114399226	9-10
GCST008969	White Coat Effect (Clinic Diastolic Blood Pressure Minus Ambulatory Diastolic Blood Pressure)	Diastolic Blood Pressure Change Measurement	Rimpelä et al. 2019	NA	NA	beta	unit	EUR	0	3	6	0.6961237056525192	82
GCST90086433	Serum Levels Of Protein Dkk3	Dickkopf-Related Protein 3 Measurement	Gudjonsson et al. 2022	NA	NA	beta	unit	EUR	0	1	1	0.0992875	51-92
GCST90088455	Serum Levels Of Protein Dkk3	Dickkopf-Related Protein 3 Measurement	Gudjonsson et al. 2022	NA	NA	beta	unit	EUR	0	1	1	0.108776	51-92
GCST004365	Blood Protein Levels	Dickkopf-Related Protein 3 Measurement	Suhre et al. 2017	(ea, dickkopf-related protein 3)	NA	beta	unit	EUR	0	1	1	0.1649	53-92
GCST90012060	Dickkopf-Related Protein 1 Levels	Dickkopf‐Related Protein 1 Measurement	Folkersen et al. 2020	NA	NA	beta	unit	EUR	0	5	9	-0.0339234630079523	65
GCST002415	Colorectal Cancer (Diet Interaction)	Diet Measurement	Figueiredo et al. 2014	(processed meat)	NA	OR	NA	EUR	0	1	1	1.0816653826391966	57
GCST90090968	Body Mass Index X Carrot Consumption Interaction	Diet Measurement	Fujihara et al. 2021	NA	NA	beta	unit	EUR	0	2	3	0.021264930625682726	60-62
GCST90090969	Body Mass Index X Broccoli Consumption Interaction	Diet Measurement	Fujihara et al. 2021	NA	NA	beta	unit	EUR	0	2	2	0.005400000000000002	62-81
GCST90090972	Body Mass Index X Pumpkin Consumption Interaction	Diet Measurement	Fujihara et al. 2021	NA	NA	beta	unit	EUR	0	1	2	0.0	0-58
GCST90090973	Body Mass Index X Cabbage Consumption Interaction	Diet Measurement	Fujihara et al. 2021	NA	NA	beta	unit	EUR	0	1	1	-0.2017	0-31
GCST90090966	Meat Consumption	Diet Measurement	Nakamura et al. 2021	NA	NA	beta	unit	EUR	0	1	1	-1.291	0-14
GCST012216	Vegetable Consumption	Diet Measurement	Park et al. 2021	NA	NA	beta	unit	EUR	0	4	8	-0.00013911689954641723	53
GCST010977	Adherence To A Japanese Dietary Pattern	Diet Measurement	Suzuki et al. 2020	NA	NA	beta	unit	EUR	0	1	1	0.105	95-100
GCST004582	Waist-To-Hip Circumference Ratio (Dietary Energy Interaction)	Diet Measurement	Velez Edwards et al. 2012	(aa)	NA	beta	unit	EUR	0	1	1	-0.02	51-92
GCST004582	Waist-To-Hip Circumference Ratio (Dietary Energy Interaction)	Diet Measurement	Velez Edwards et al. 2012	NA	NA	beta	unit	EUR	0	1	1	-0.02	0-31
GCST004587	Body Mass Index (Dietary Energy Interaction)	Diet Measurement	Velez Edwards et al. 2012	(hispanic)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST004587	Body Mass Index (Dietary Energy Interaction)	Diet Measurement	Velez Edwards et al. 2012	NA	NA	beta	NA	EUR	0	1	1	NF	NA
GCST004798	Differentiated Thyroid Cancer	Differentiated Thyroid Carcinoma	Son et al. 2017	NA	NA	OR	NA	EUR	0	5	9	1.1127030240683613	31
GCST012197	Differentiated Thyroid Cancer	Differentiated Thyroid Carcinoma	Truong et al. 2021	NA	NA	OR	NA	EUR	0	4	8	0.8346913780146487	41
GCST008728	Diffuse Large B-Cell Lymphoma Or Systemic Lupus Erythematosus	Diffuse Large B-Cell Lymphoma	Din et al. 2019	NA	NA	OR	NA	EUR	0	1	1	1.0669582934679311	0-54
GCST003178	Event Free Survival In Diffuse Large B-Cell Lymphoma Treated With Immunochemotherapy	Diffuse Large B-Cell Lymphoma	Ghesquieres et al. 2015	NA	NA	OR	NA	EUR	0	2	2	1.0838514715804344	47-90
GCST006473	Diffusing Capacity Of The Lung For Carbon Monoxide Traits	Diffusing Capacity Of The Lung For Carbon Monoxide	Terzikhan et al. 2018	(dlco)	NA	beta	unit	EUR	0	2	2	0.055	90-100
GCST002231	Digestive System Disease (Barrett's Esophagus And Esophageal Adenocarcinoma Combined)	Digestive System Disease	Levine et al. 2013	NA	NA	OR	NA	EUR	0	7	10	1.0251107423393306	15-18
GCST000630	Digit Length Ratio	Digit Length Ratio	Medland et al. 2010	NA	NA	beta	mean 2D:4D	EUR	0	1	1	0.315	74-98
GCST005748	Digit Length Ratio (Right Hand)	Digit Length Ratio	Warrington et al. 2018	NA	NA	beta	unit	EUR	0	9	11	0.07168222825963262	91
GCST005749	Digit Length Ratio (Left Hand)	Digit Length Ratio	Warrington et al. 2018	(ea)	NA	beta	unit	EUR	0	9	12	0.07523711494883405	91
GCST005749	Digit Length Ratio (Left Hand)	Digit Length Ratio	Warrington et al. 2018	NA	NA	beta	unit	EUR	0	9	12	0.07695653127093578	92
GCST005750	Digit Length Ratio	Digit Length Ratio	Warrington et al. 2018	NA	NA	beta	unit	EUR	0	9	12	0.07459599614625194	91
GCST90060199	Diacylglycerol_38:6_[M+H-H2o]1+ Levels	Diglyceride Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	15	20	-0.01286032042366854	4-6
GCST90060207	Ceramide_41:1_[M-H]1- Levels	Diglyceride Measurement	Harshfield et al. 2021	NA	NA	beta	unit	EUR	0	2	2	-0.0461523	0-9
GCST008924	Diacylglyceride Levels	Diglyceride Measurement	Tabassum et al. 2019	(dag(18:1;0-18:1;0))	NA	beta	unit	EUR	0	1	1	-0.2257	0-75
GCST008924	Diacylglyceride Levels	Diglyceride Measurement	Tabassum et al. 2019	(dag(18:1;0-18:2;0))	NA	beta	unit	EUR	0	1	1	-0.231	0-75
GCST001653	Androgen Levels	Dihydrotestosterone Measurement	Jin et al. 2012	(dht levels)	NA	beta	unit	EUR	0	2	2	0.015250000000000003	88-99
GCST011202	Dilated Cardiomyopathy (Mtag)	Dilated Cardiomyopathy	Tadros et al. 2021	NA	NA	OR	NA	EUR	0	10	13	1.0646107315302227	27
GCST002847	Disease-Free Survival In Breast Cancer	Disease Free Survival	Song et al. 2015	(hr- her2-)	NA	OR	NA	EUR	0	1	1	1.5033296378372907	50
GCST90014045	Lung Cancer Prognosis In Former Smokers	Disease Prognosis Measurement	Shen et al. 2021	NA	HR	OR	NA	EUR	0	1	1	0.8544003745317531	12-55
GCST004691	Huntington's Disease Progression	Disease Progression Measurement	Hensman Moss et al. 2017	NA	(from the REGISTRY Cohort)	beta	unit	EUR	0	1	1	0.0965	4-31
GCST007550	Osteolysis In Total Hip Arthroplasty (Time To Prosthesis Revision)	Disease Progression Measurement	MacInnes et al. 2019	NA	NA	beta	unit	EUR	0	6	11	0.03318231392088733	56
GCST004981	Curve Progression In Adolescent Idiopathic Scoliosis	Disease Progression Measurement	Ogura et al. 2017	NA	NA	OR	NA	EUR	0	1	1	1.56	9-100
GCST007434	Metastasis In Stage I-Iii Microsatellite Instability Low/Stable Colorectal Cancer (Time To Event)	Disease Progression Measurement	Penney et al. 2019	(dominant, mixture cure model)	NA	OR	NA	EUR	0	1	1	2.539685019840059	0-100
GCST007434	Metastasis In Stage I-Iii Microsatellite Instability Low/Stable Colorectal Cancer (Time To Event)	Disease Progression Measurement	Penney et al. 2019	(recessive, mixture cure model)	NA	OR	NA	EUR	0	4	4	3.703215835464972	87
GCST012291	Schizophrenia, Bipolar Disorder Or Recurrent Major Depressive Disorder	Disease Recurrence	Blokland et al. 2021	(male)	NA	beta	unit	EUR	0	1	2	-0.01207710689635172	13-53
GCST012292	Schizophrenia, Bipolar Disorder Or Recurrent Major Depressive Disorder X Sex Interaction	Disease Recurrence	Blokland et al. 2021	NA	NA	beta	unit	EUR	0	10	13	0.02458392230850933	4
GCST012295	Schizophrenia, Bipolar Disorder Or Recurrent Major Depressive Disorder X Sex Interaction	Disease Recurrence	Blokland et al. 2021	NA	NA	beta	unit	EUR	0	10	16	0.026928575040982786	19
GCST005222	Insulin Disposition Index	Disposition Index Measurement	Prokopenko et al. 2014	NA	NA	beta	unit	EUR	0	2	4	-0.002641623895700145	86
GCST90018765	Medication Use (Diuretics)	Diuretic Use Measurement	Sakaue et al. 2021	NA	NA	beta	unit	EUR	0	1	1	0.03917755	37-85
GCST90018985	Medication Use (Diuretics)	Diuretic Use Measurement	Sakaue et al. 2021	NA	NA	beta	unit	EUR	0	49	87	-0.003766857778219343	12
GCST007928	Medication Use (Diuretics)	Diuretic Use Measurement	Wu et al. 2019	NA	NA	beta	unit	EUR	0	56	102	-0.00030546318771163694	17
GCST008105	Diverticular Disease	Diverticular Disease	Schafmayer et al. 2019	NA	NA	OR	NA	EUR	0	3	3	1.0244855637847115	1-6
GCST008257	Diverticular Disease	Diverticular Disease	Sigurdsson et al. 2017	NA	NA	OR	NA	EUR	0	2	4	1.0472296222833493	11-13
GCST008256	Diverticulitis	Diverticulitis	Sigurdsson et al. 2017	NA	NA	OR	NA	EUR	0	6	10	1.0728338355852705	5
GCST001177	Plasma Omega-3 Polyunsaturated Fatty Acid Levels (Docosahexaenoic Acid)	Docosahexaenoic Acid Measurement	Lemaitre et al. 2011	NA	NA	beta	%	EUR	0	1	1	-0.055	18-66
GCST001179	Plasma Omega-3 Polyunsaturated Fatty Acid Levels (Docosapentaenoic Acid)	Docosapentaenoic Acid Measurement	Lemaitre et al. 2011	NA	NA	beta	%	EUR	0	9	14	0.005482386469459499	15-16
GCST002712	Red Blood Cell Fatty Acid Levels	Docosapentaenoic Acid Measurement	Tintle et al. 2014	(dpa-n3)	NA	beta	unit	EUR	0	1	1	0.0575	33-81
GCST90092525	Disease-Related Mortality After Unrelated Donor Allogeneic Hematopoietic Cell Transplantation (Donor Effect)	Donor Genotype Effect Measurement	Hahn et al. 2021	NA	NA	OR	NA	EUR	0	2	4	1.2357831997269546	89-90
GCST007700	Substance Use Disorder	Drug Dependence	Alblooshi et al. 2018	(arabian)	NA	OR	NA	EUR	0	1	1	1.9235384061671346	0-92
GCST000956	Substance Dependence	Drug Dependence	Chen et al. 2011	(ea women)	NA	OR	NA	EUR	0	1	1	1.3304134695650072	68-97
GCST001616	Cannabis Use (Initiation)	Drug Dependence	Verweij et al. 2012	NA	NA	beta	unit	EUR	0	3	6	-0.009429748253862088	50-61
GCST011106	Metamizole-Induced Agranulocytosis	Drug-Induced Agranulocytosis	Cismaru et al. 2020	NA	NA	OR	NA	EUR	0	2	2	1.4150966184151803	73
GCST003792	Liver Injury In Anti-Tuberculosis Drug Treatment	Drug-Induced Liver Injury	Petros et al. 2016	NA	NA	OR	NA	EUR	0	2	2	1.6722518622569724	47-68
GCST007897	Liver Injury In Anti-Tuberculosis Drug Treatment	Drug-Induced Liver Injury	Suvichapanich et al. 2019	(dominant)	NA	OR	NA	EUR	0	1	1	4.47	74-100
GCST90018993	Medication Use (Drugs Affecting Bone Structure And Mineralization)	Drugs Affecting Bone Structure And Mineralization Use Measurement	Sakaue et al. 2021	NA	NA	beta	unit	EUR	0	10	14	-0.007006581673028501	61
GCST007935	Medication Use (Drugs Affecting Bone Structure And Mineralization)	Drugs Affecting Bone Structure And Mineralization Use Measurement	Wu et al. 2019	NA	NA	beta	unit	EUR	0	6	11	-0.01118826189189147	17
GCST004365	Blood Protein Levels	Dual Specificity Mitogen-Activated Protein Kinase Kinase 2 Measurement	Suhre et al. 2017	(ea, dual specificity mitogen-activated protein kinase kinase 2)	NA	beta	unit	EUR	0	1	2	-0.11311003622851835	5-29
